uid,email,username,first_name,last_name,impact_score,company,job_title,education,university,major,num_follower,communication_services,consumer_discretionary,consumer_staples,energy,financials,health_care,industrials,information_technology,materials,real_estate,utilities,Fraud_Detection,Risk_Scoring,Healthcare,Internet_Search,Marketing_Effectiveness,Website_Recommendations,Image_Recognition,Speech_Recognition,Airline_Route_Planning,Price_Analytics,Supply_Chain_Optimization,Talent_Acquisition_Analytics,Environment_Analytics,Epidemiology,Social_Policy,Evaluation_and_Assessment,filter_test,filter_spam,filter_spam_2,project_list,covid_competition,news_competition,property_competition,restaurant_competition,investment_competition,recency
678,christopherknight@rmdslab.com,castrochristina,Christopher,Long,40.46093154218651,university of st thomas,nan,nan,nan,technology  information management,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,"[(489, 'RMDS Meetup Speakers Presentations', None, 'Python'), (493, 'RMDS Newsletter Archives', None, 'Other'), (495, 'IM Data Training in Healthcare Industry: Stroke Prediction', None, 'Python'), (499, 'IM Data Speaker and Panelist Presentations', None, 'Other'), (504, 'IM Data Training in Analytics and CRM Strategy by Dr. Sijun Wang', None, 'R'), (506, 'IM Data Training Overview', None, 'Other'), (522, 'RMDS Seminar: Applications of Big Data and AI in Media and Entertainment', None, 'Other'), (534, 'RMDS Lab X CDI Webinar: An Introduction to the Data Resources on the 2019 Novel Coronavirus', None, 'Other'), (545, 'Project Coronavirus: Dashboard and Alert System', ""<p>We'll keep you posted!</p>\r\n"", 'Python'), (569, 'Tracking the coronavirus and screen the infection: The Design and Prototype of  “Yiqing Zong (疫情踪)” App', None, 'Other'), (571, 'RMDS Webinar: How AI & Big Data are Revolutionizing Global Responses to the Coronavirus', None, 'Other'), (574, 'Building an End-to-End Data Science Solution for Project Coronavirus', None, 'Other'), (576, 'How China Fights against Coronarvirus Utilizing Science and Technology', '<p>Learn about the tools that are helping the battle against COVID-19</p>\r\n', 'Other'), (591, 'RMDS Workshop 3/26: Data Analytics and Visualization Utilizing 2019 Novel Coronavirus Data', None, 'Other'), (594, 'RMDS Webinar: Intro to Spatial Analytics and Epidemiological Modeling for COVID-19 ', None, 'Other'), (602, 'RMDS Workshop 4/24: Data Science Fundamentals', None, 'Python'), (608, 'RMDS Webinar:Using Aggregated Population Mobility Data to Respond to COVID-19', None, 'Other'), (626, 'Competition Training Recordings', None, None), (771, 'RMDS x Aphid: How Business Automation with AI is Disrupting the 9 to 5 Workforce Economy', None, None), (773, 'RMDS Awards Ceremony for 2020 COVID Challenge', None, None), (838, 'RMDS Webinar 6/23: Big Data and AI for Biomedicine ', None, None), (852, 'RMDS x Embodied: Creating Lifelike and Believable Animate Companions Using AI + NLP', None, None), (861, 'RMDS Webinar 7/28: Data Scien\u200bce and AI in Government: Challenges & Application', None, None), (878, 'RMDS Webinar 8/18: Leveraging AI and Machine Learning to Improve Data Quality ', None, None), (883, 'RMDS Webinar 9/15: How BEN Transformed from Product Placement & Influencer Marketing to AI', None, None), (887, 'RMDS Webinar 9/29: Python Tools for Scaling Data Science ', None, None), (896, 'IM DATA 2020, Nov 2 Innovative Methods with Data Science & AI ', None, None), (897, 'IM DATA 2020, Nov 2 Data and AI for COVID-19 and Healthcare', None, None), (900, 'IM DATA 2020, Nov 2 Machine Learning, Deep Learning and AI', None, None), (901, 'IM DATA 2020, Nov 3 Innovative Methods with Data Science and AI', None, None), (902, 'IM DATA 2020, Nov 3 Machine Learning, Deep Learning and AI', None, None), (903, 'IM DATA 2020, Nov 3 Data and AI for COVID-19 and Healthcare', None, None), (907, 'RMDS Webinar 11/30: Using Text for Marketing Insights by Dr. Richard Tang', None, None), (9535, 'BA', None, None)]",False,False,False,False,False,0
246,cgreene@gmail.com,gtucker,Jennifer,Robbins,29.36930005437839,simon fraser university,ceo,nan,nan,nan,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,"[(376, 'Linear Regression Analysis of US Census Data', None, 'R')]",False,False,True,False,False,0
2232,hthomas@gmail.com,zrodriguez,Spencer,Ramos,23.920090944136795,universitas pasundan,theatre stage manager,nan,nan,nan,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,"[(884, 'Bank Churn', None, None), (1251, 'Education Regression Project', None, None), (1252, 'NJ Flight Project', None, None)]",False,False,False,False,False,0
3252,kimjanice@gmail.com,lucashall,Larry,Shah,15.87952616,nan,student,nan,adler university,nan,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,,False,False,False,False,False,0
9174,haroldguerrero@gmail.com,debbiekelley,Craig,Tanner,14.205336800000001,nan,nan,less than high school,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,"[(1100, 'Predicting Recession', None, None), (1101, 'Emotional Recognition via Voice', None, None)]",False,False,False,False,False,0
9120,marygarcia@gmail.com,manuel91,Kelly,White,13.51062886,tsv consulting,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,"[(1114, 'Image Scene Classification Using Machine Learning Techniques', None, None), (1115, 'Amazon Review Sentiment Analysis', None, None), (1116, 'Calorie counter app', None, None)]",False,False,False,False,False,0
108,wilkinstony@grmds.org,morenojohn,Albert,Dickerson,13.28359396,cal poly,senior research associate ,nan,nan,nan,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,,False,False,False,False,False,0
9852,martinmichael@rmdslab.com,herreradavid,Brian,Alvarez,12.911634928939906,unsoed,student,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,"[(9531, 'Predict stock price', None, None)]",False,False,False,False,False,0
7182,fbruce@sfu.ca,ypetersen,Brandon,Tucker,11.21793960616173,university of lampung,student ,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,"[(1004, 'Using a Binary Classifier on News Sentiment to Predict Stock Price Movement', None, None)]",False,False,False,False,False,31
3330,nramirez@student.laccd.edu,choijessica,Matthew,Wallace,10.677809578742462,jpl,grad student,nan,california state university long beach,computational neuroscience,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,"[(925, 'California Police Scorecard', None, None)]",False,True,False,True,False,0
